"BanksCode","WBCode","Year","BanksCountry","AreaKM2","Population","GDP","MilitarySpending"
10,"AFG",1946,"Afghanistan",647000,11778,37,NA
20,"ALB",1946,"Albania",29000,1132,108,NA
40,"ARG",1946,"Argentina",2777000,15654,284,1909
50,"AUS",1946,"Australia",7687000,7465,911,13936
62,"HUN",1946,"Hungary",93000,9294,48,NA
80,"BEL",1946,"Belgium",31000,8367,573,6587
100,"BOL",1946,"Bolivia",1099000,2597,74,NA
120,"BRA",1946,"Brazil",8512000,47313,80,583
130,"BGR",1946,"Bulgaria",111000,6993,220,NA
180,"CAN",1946,"Canada",9573000,12292,1058,6467
220,"CHL",1946,"Chile",757000,5643,349,938
230,"CHN",1946,"China Republic",8380000,455592,21,NA
240,"COL",1946,"Colombia",1139000,10318,169,158
270,"CRI",1946,"Costa Rica",51000,715,120,138
280,"CUB",1946,"Cuba",111000,5039,168,NA
300,"",1946,"Czechoslovakia",128000,12916,465,872
320,"DNK",1946,"Denmark",43000,4101,789,435
330,"DOM",1946,"Dominican Republic",49000,1935,48,NA
340,"ECU",1946,"Ecuador",284000,2853,82,NA
350,"SLV",1946,"El Salvador",21393,1764,196,97
370,"ETH",1946,"Ethiopia",1094000,12000,28,NA
380,"FIN",1946,"Finland",337000,3806,NA,NA
390,"FRA",1946,"France",547000,40438,740,739
450,"GRC",1946,"Greece",130000,7426,90,NA
460,"GTM",1946,"Guatemala",109000,2498,117,135
490,"HTI",1946,"Haiti",28000,3252,109,59
500,"HND",1946,"Honduras",112000,1287,131,143
510,"ISL",1946,"Iceland",103000,132,200,NA
540,"IRN",1946,"Iran",1648000,16000,76,129
550,"IRQ",1946,"Iraq",435000,4803,NA,312
570,"ITA",1946,"Italy",301000,45910,452,415
610,"JOR",1946,"Jordan",98000,1065,NA,594
670,"LBN",1946,"Lebanon",10400,1160,94,304
690,"LBR",1946,"Liberia",111000,816,104,NA
720,"LUX",1946,"Luxembourg",2586,284,612,NA
810,"MEX",1946,"Mexico",1972000,23183,160,156
820,"MNG",1946,"Mongolia",1565000,853,NA,NA
840,"NPL",1946,"Nepal",141000,6450,38,NA
850,"NLD",1946,"Netherlands",34000,9423,500,NA
860,"NZL",1946,"New Zealand",269000,1759,800,1774
870,"NIC",1946,"Nicaragua",130000,949,90,NA
910,"PAN",1946,"Panama",76000,721,270,NA
920,"PRY",1946,"Paraguay",407000,1275,51,NA
930,"PER",1946,"Peru",1285000,7786,99,367
940,"PHL",1946,"Philippines",300000,19067,80,91
950,"POL",1946,"Poland",312000,23625,NA,NA
960,"PRT",1946,"Portugal",92000,7875,178,535
970,"ROM",1946,"Romania",238000,15791,251,NA
990,"SAU",1946,"Saudi Arabia",2150000,6000,100,NA
1040,"ZAF",1946,"South Africa",1221000,11451,220,NA
1060,"ESP",1946,"Spain",505000,27246,190,NA
1091,"NOR",1946,"Norway",387000,3100,854,1951
1092,"SWE",1946,"Sweden",450000,6764,1015,3445
1100,"CHE",1946,"Switzerland",41000,4467,1122,2040
1110,"SYR",1946,"Syria",185000,2978,79,NA
