ISO3,Country,ChildMortality,InfantMortality,LifeExpectancy,GDPPerCapita,FDIIn,NaturalResourceRents,UrbanPopulation,GovtExpenditures,PaidParentalLeave,DemocScore,AutocScore,POLITY
ABW,Aruba,NA,NA,76.072,31172.8021926197,4.39982167334802,0.00188469168678285,43.411,23.0710204165153,NA,NA,NA,NA
AFG,Afghanistan,65.8,50.1,63.081,553.973308908649,0.661572216047427,0.855264249305936,25.495,NA,0,1,2,-1
AGO,Angola,77.1,51.6,62.144,2777.84304535304,-8.12589111156365,32.045405604301,65.514,10.4745435629873,0,2,4,-2
ALB,Albania,9.3,8.3,79.184,4431.55559506989,7.9463556997158,1.71111628143642,60.319,11.2865692132195,0,9,0,9
AND,Andorra,3.1,3,NA,39320.1109176824,NA,0,88.062,NA,NA,NA,NA,NA
ARE,United Arab Emirates,6.7,5.3,79.627,43644.1470438183,2.43186975983804,18.1866824883602,86.522,11.6854197578622,0,0,8,-8
ARG,Argentina,10.6,9.5,76.999,13105.397163317,2.23253157689253,2.0371251352841,91.87,15.8050971558947,0,9,0,9
ARM,Armenia,12.5,11.1,75.064,4215.89939440524,2.14204783415544,1.09866113638474,63.149,11.4866903221706,1,7,0,7
ASM,American Samoa,NA,NA,NA,13049.3301536176,NA,0,87.153,NA,NA,NA,NA,NA
ATG,Antigua and Barbuda,10.4,8.8,78.511,17901.0409130559,12.1775193572219,0,24.599,NA,0,NA,NA,NA
AUS,Australia,3.8,3.2,82.7487804878049,58600.7903562771,4.24461148816089,5.22752063881788,86.012,19.9898835908156,1,10,0,10
AUT,Austria,3.5,2.9,81.6926829268293,46154.6250956541,-6.2871015854224,0.140755073164382,58.297,19.3393825159642,1,10,0,10
AZE,Azerbaijan,21.8,19.4,72.76,5262.36870473368,2.97797589143235,27.6209320144449,55.68,10.4664635668981,1,0,7,-7
BDI,Burundi,58.6,41.1,61.688,274.131908470855,0.0368833867132797,13.4317629933204,13.032,26.2102674584933,0,2,3,-1
BEL,Belgium,4,3.3,81.5951219512195,42382.3182763247,-7.65717995735734,0.0484487814693338,98.001,23.1414661163506,1,8,0,8
BEN,Benin,90.7,59.2,60.14,1111.22724747423,1.36073573349143,2.60830727598415,47.312,10.4105053943384,0,7,0,7
BFA,Burkina Faso,90.3,55.1,60.047,696.044570830807,1.68919942943091,8.87619594401664,29.358,18.419409475168,0,7,1,6
BGD,Bangladesh,33.6,27.8,72.567,1460.30422758178,0.753510737984269,0.649238822939078,36.632,5.95916760828597,0,0,6,-6
BGR,Bulgaria,7,5.8,74.9634146341464,7862.86182980047,2.7269193821993,0.678372706778028,75.008,16.421363247007,1,9,0,9
BHR,Bahrain,7.2,6.1,79.857,23023.1197800625,4.37610466741817,14.7513564173951,89.287,16.2860745454655,0,0,10,-10
BHS,"Bahamas, The",13.5,11.7,73.806,30412.1328178751,3.8835168586779,0.0131261113776456,83.025,11.4623506353923,0,NA,NA,NA
BIH,Bosnia and Herzegovina,6.3,5.5,77.093,5339.47706826984,2.93781358415463,1.05259180342277,48.245,19.6573572916203,0,-66,-66,NA
BLR,Belarus,3.4,2.5,74.1756097560976,6165.95788671048,2.3762653793329,1.98128406238056,78.595,15.7398626553303,1,0,7,-7
BLZ,Belize,13.5,11.6,73.703,5699.06280152249,5.32285070919868,0.796890251194486,45.724,19.4051124649418,0,NA,NA,NA
BMU,Bermuda,NA,NA,80.825,106697.737486296,1.32046326053902,0,100,11.7283240729939,NA,NA,NA,NA
BOL,Bolivia,27.9,22.7,67.748,3219.20089192093,0.750524780939579,5.37166725772886,69.425,17.525644686723,0,7,0,7
BRA,Brazil,15,13.4,75.109,8553.86590205122,4.07748668070066,3.61759120230309,86.569,19.8950877802146,0,8,0,8
BRB,Barbados,12.3,11.4,77.067,17283.3779200865,4.72768455555012,0.214063429251287,31.147,11.7616554963064,0,NA,NA,NA
BRN,Brunei Darussalam,9.9,8.6,74.712,29437.8651779688,3.80485731593467,22.5076667399112,77.629,24.1416765478916,0,NA,NA,NA
BTN,Bhutan,27.2,22.9,71.129,3079.1439631488,0.102559426819443,1.98850743903733,40.895,18.4949248890086,0,7,0,7
BWA,Botswana,43.7,34.3,65.422,6418.70635422259,1.67893386448585,0.869694754311434,69.446,29.0985189512999,0,8,0,8
CAF,Central African Republic,108,79.9,54.369,378.263077805926,0.81061251887544,11.1787424768372,41.364,7.70001000295874,0,7,1,6
CAN,Canada,5.2,4.5,81.8439024390244,44916.4741565439,2.46931207254863,1.79820431653194,81.411,20.6814326967462,1,10,0,10
CHE,Switzerland,4.1,3.6,83.7536585365854,86756.6021294513,-22.1051198346507,0.0130088671838284,73.797,11.2649207517523,0,10,0,10
CHL,Chile,7.4,6.4,80.133,13904.1153384034,2.68461345357212,5.83707726201581,87.564,14.8564737573302,1,10,0,10
